CIVKEY;QUARTIERE;Indirizzo scuola;Geo Point;Geo Shape;NOME;GESTIONE;SERVIZIO;ISTITUZIONE_SCOLASTICA;CIVICO;SUBCIV;COD VIA;ANNO SCOLASTICO;GEO_ID;area statistica
388000017000;Porto - Saragozza;VIA DON GIOVANNI MINZONI;44.50314538599104, 11.336005098098578;"{""coordinates"": [11.336005098098578, 44.50314538599104], ""type"": ""Point""}";GALVANI (SEDE DISTACCATA);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;GALVANI;17;;38800;2024-2025;361;MARCONI-2
573500004000;Porto - Saragozza;VIA DEI TESSITORI;44.48964390386821, 11.335978389475923;"{""coordinates"": [11.335978389475923, 44.48964390386821], ""type"": ""Point""}";AQUILONE;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;4;;57350;2024-2025;276;MALPIGHI-2
42300003205A;Santo Stefano;VIA ORFEO;44.486756361544266, 11.350940947119344;"{""coordinates"": [11.350940947119344, 44.486756361544266], ""type"": ""Point""}";LA TORTA IN CIELO;PRIVATA;NIDO D'INFANZIA;LA TORTA IN CIELO;32;5A;42300;2024-2025;317;GALVANI-2
103500048000;Santo Stefano;VIA BROCCAINDOSSO;44.49338847743468, 11.35536284172831;"{""coordinates"": [11.35536284172831, 44.49338847743468], ""type"": ""Point""}";LAURA BASSI (SEDE DISTACCATA);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;LAURA BASSI;48;;10350;2024-2025;340;IRNERIO-2
449500003000;Porto - Saragozza;VIALE CARLO PEPOLI;44.49177861104734, 11.32954359994086;"{""coordinates"": [11.32954359994086, 44.49177861104734], ""type"": ""Point""}";RIGHI (SEDE CENTRALE);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;RIGHI;3;;44950;2024-2025;342;MALPIGHI-2
615500019000;Porto - Saragozza;VIALE GIOVANNI VICINI;44.49801199689685, 11.327565289141692;"{""coordinates"": [11.327565289141692, 44.49801199689685], ""type"": ""Point""}";CPIA 2;STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;;19;;61550;2024-2025;374;MALPIGHI-2
415000047000;Porto - Saragozza;VIA NOSADELLA;44.49133436221201, 11.334703254447062;"{""coordinates"": [11.334703254447062, 44.49133436221201], ""type"": ""Point""}";LICEO STEAM INTERNATIONAL QUADRIENNALE;PRIVATA PARITARIA;SCUOLA SECONDARIA DI SECONDO GRADO;STEAM INTERNATIONAL QUADRIENNALE;47;;41500;2024-2025;375;MALPIGHI-2
304500016000;Porto - Saragozza;VIA S.ISAIA;44.493546752231914, 11.334177429151461;"{""coordinates"": [11.334177429151461, 44.493546752231914], ""type"": ""Point""}";MANZOLINI;STATALE;SCUOLA PRIMARIA;ISTITUTO COMPRENSIVO N. 08;16;;30450;2024-2025;163;MALPIGHI-2
229500002000;Santo Stefano;VIA ANGELO FINELLI;44.50234335898709, 11.349065077229278;"{""coordinates"": [11.349065077229278, 44.50234335898709], ""type"": ""Point""}";IRNERIO;STATALE;SCUOLA SECONDARIA DI PRIMO GRADO;ISTITUTO COMPRENSIVO N. 06;2;;22950;2024-2025;218;IRNERIO-2
288500008000;Porto - Saragozza;VIA GRAZIANO;44.49994203996859, 11.331558224741656;"{""coordinates"": [11.331558224741656, 44.49994203996859], ""type"": ""Point""}";GANDINO;STATALE;SCUOLA SECONDARIA DI PRIMO GRADO;ISTITUTO COMPRENSIVO N. 17;8;;28850;2024-2025;222;MARCONI-2
037500055000;Porto - Saragozza;VIA D'AZEGLIO;44.48818856479583, 11.339576848718103;"{""coordinates"": [11.339576848718103, 44.48818856479583], ""type"": ""Point""}";SAN LUIGI;PRIVATA PARITARIA;SCUOLA SECONDARIA DI PRIMO GRADO;ISTITUTO SAN LUIGI;55;;3750;2024-2025;235;MALPIGHI-2
192000003000;Santo Stefano;VIA DANTE;44.48691483151359, 11.35462760636298;"{""coordinates"": [11.35462760636298, 44.48691483151359], ""type"": ""Point""}";CARDUCCI;COMUNALE;SCUOLA DELL'INFANZIA;COMUNE DI BOLOGNA;3;;19200;2024-2025;24;GALVANI-2
372000001010;Santo Stefano;VIA DE' MATTUIANI;44.48891911979205, 11.342155905972023;"{""coordinates"": [11.342155905972023, 44.48891911979205], ""type"": ""Point""}";PADIGLIONE;COMUNALE;SCUOLA DELL'INFANZIA;COMUNE DI BOLOGNA;1;1;37200;2024-2025;25;GALVANI-2
563500002000;Porto - Saragozza;VICOLO STRADELLACCIO;44.491302974689894, 11.337361953739846;"{""coordinates"": [11.337361953739846, 44.491302974689894], ""type"": ""Point""}";MINGHETTI (SEDE DISTACCATA);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;MINGHETTI;2;;56350;2024-2025;347;MALPIGHI-2
304500035000;Porto - Saragozza;VIA S.ISAIA;44.494118518221995, 11.332116331682908;"{""coordinates"": [11.332116331682908, 44.494118518221995], ""type"": ""Point""}";LAURA BASSI (SEDE CENTRALE);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;LAURA BASSI;35;;30450;2024-2025;348;MALPIGHI-2
423000029000;Santo Stefano;VIA ORFEO;44.485896811426976, 11.351932182047364;"{""coordinates"": [11.351932182047364, 44.485896811426976], ""type"": ""Point""}";SAN PIETRO MARTIRE;PRIVATA CONVENZIONATA;SCUOLA DELL'INFANZIA;SAN PIETRO MARTIRE;29;;42300;2024-2025;91;GALVANI-2
435500006000;Porto - Saragozza;VIA PALESTRO;44.48977434944751, 11.337596016379136;"{""coordinates"": [11.337596016379136, 44.48977434944751], ""type"": ""Point""}";SANT'ALBERTO MAGNO;PRIVATA CONVENZIONATA;SCUOLA DELL'INFANZIA;SANT'ALBERTO MAGNO;6;;43550;2024-2025;94;MALPIGHI-2
284500011020;Santo Stefano;VIALE GIOVANNI GOZZADINI;44.485415181237265, 11.351142058394503;"{""coordinates"": [11.351142058394503, 44.485415181237265], ""type"": ""Point""}";GOZZADINI;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;11;2;28450;2024-2025;310;GALVANI-2
192000003000;Santo Stefano;VIA DANTE;44.48691483151359, 11.35462760636298;"{""coordinates"": [11.35462760636298, 44.48691483151359], ""type"": ""Point""}";CARDUCCI;STATALE;SCUOLA PRIMARIA;ISTITUTO COMPRENSIVO N. 20;3;;19200;2024-2025;139;GALVANI-2
304500077000;Porto - Saragozza;VIA S.ISAIA;44.4946222748151, 11.329301474814947;"{""coordinates"": [11.329301474814947, 44.4946222748151], ""type"": ""Point""}";MALPIGHI;PRIVATA PARITARIA;SCUOLA SECONDARIA DI SECONDO GRADO;MALPIGHI;77;;30450;2024-2025;343;MALPIGHI-2
615500021000;Porto - Saragozza;VIALE GIOVANNI VICINI;44.49845081512427, 11.327417990859047;"{""coordinates"": [11.327417990859047, 44.49845081512427], ""type"": ""Point""}";ALDROVANDI RUBBIANI (SEDE DISTACCATA);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;ALDROVANDI RUBBIANI;21;;61550;2024-2025;344;MALPIGHI-2
435500006000;Porto - Saragozza;VIA PALESTRO;44.48977434944751, 11.337596016379136;"{""coordinates"": [11.337596016379136, 44.48977434944751], ""type"": ""Point""}";ISTITUTO SANT'ALBERTO MAGNO;PRIVATA PARITARIA;SCUOLA SECONDARIA DI SECONDO GRADO;ISTITUTO SANT'ALBERTO MAGNO;6;;43550;2024-2025;345;MALPIGHI-2
252000074000;Porto - Saragozza;VIA GALLIERA;44.5033937304216, 11.344143256265303;"{""coordinates"": [11.344143256265303, 44.5033937304216], ""type"": ""Point""}";DE AMICIS;STATALE;SCUOLA PRIMARIA;ISTITUTO COMPRENSIVO N. 18;74;;25200;2024-2025;165;MARCONI-2
118000008000;Porto - Saragozza;VIA LUIGI CALORI;44.50039279671308, 11.330976451198012;"{""coordinates"": [11.330976451198012, 44.50039279671308], ""type"": ""Point""}";GUIDI;STATALE;SCUOLA PRIMARIA;ISTITUTO COMPRENSIVO N. 17;8;;11800;2024-2025;167;MARCONI-2
141000011030;Porto - Saragozza;VIA CA' SELVATICA;44.49282036705703, 11.333432920615621;"{""coordinates"": [11.333432920615621, 44.49282036705703], ""type"": ""Point""}";ANNA SERRA PLESSO 2;COMUNALE;SCUOLA DELL'INFANZIA;COMUNE DI BOLOGNA;11;3;14100;2024-2025;58;MALPIGHI-2
304500020000;Porto - Saragozza;VIA S.ISAIA;44.493627589987724, 11.33373341552558;"{""coordinates"": [11.33373341552558, 44.493627589987724], ""type"": ""Point""}";MANZOLINI;STATALE;SCUOLA DELL'INFANZIA;ISTITUTO COMPRENSIVO N. 08;20;;30450;2024-2025;131;MALPIGHI-2
037500082000;Santo Stefano;VIA D'AZEGLIO;44.48755776220723, 11.339766155505636;"{""coordinates"": [11.339766155505636, 44.48755776220723], ""type"": ""Point""}";LAVINIA FONTANA;STATALE;SCUOLA SECONDARIA DI PRIMO GRADO;ISTITUTO COMPRENSIVO N. 19;82;;3750;2024-2025;207;GALVANI-2
141000011000;Porto - Saragozza;VIA CA' SELVATICA;44.492796346001676, 11.333229984591828;"{""coordinates"": [11.333229984591828, 44.492796346001676], ""type"": ""Point""}";GUINIZELLI;STATALE;SCUOLA SECONDARIA DI PRIMO GRADO;ISTITUTO COMPRENSIVO N. 08;11;;14100;2024-2025;220;MALPIGHI-2
088500008000;Santo Stefano;VICOLO BOLOGNETTI;44.49314051466098, 11.354174249777454;"{""coordinates"": [11.354174249777454, 44.49314051466098], ""type"": ""Point""}";ZAMBONI;STATALE;SCUOLA PRIMARIA;ISTITUTO COMPRENSIVO N. 16;8;;8850;2024-2025;158;IRNERIO-2
443500003000;Santo Stefano;VIA GIOVANNI PASCOLI;44.48615400929118, 11.350442884324927;"{""coordinates"": [11.350442884324927, 44.48615400929118], ""type"": ""Point""}";BARACCANO;COMUNALE;SCUOLA DELL'INFANZIA;COMUNE DI BOLOGNA;3;;44350;2024-2025;23;GALVANI-2
628500015000;Santo Stefano;VIA ZAMBONI;44.49597942855501, 11.35007366166641;"{""coordinates"": [11.35007366166641, 44.49597942855501], ""type"": ""Point""}";ZAMBONI;COMUNALE;SCUOLA DELL'INFANZIA;COMUNE DI BOLOGNA;15;;62850;2024-2025;26;IRNERIO-1
118000008000;Porto - Saragozza;VIA LUIGI CALORI;44.50039279671308, 11.330976451198012;"{""coordinates"": [11.330976451198012, 44.50039279671308], ""type"": ""Point""}";GUIDI;STATALE;SCUOLA DELL'INFANZIA;ISTITUTO COMPRENSIVO N. 17;8;;11800;2024-2025;114;MARCONI-2
037500055000;Porto - Saragozza;VIA D'AZEGLIO;44.48818856479583, 11.339576848718103;"{""coordinates"": [11.339576848718103, 44.48818856479583], ""type"": ""Point""}";SAN LUIGI;PRIVATA CONVENZIONATA;SCUOLA DELL'INFANZIA;ISTITUTO SAN LUIGI;55;;3750;2024-2025;77;MALPIGHI-2
41500005100B;Porto - Saragozza;VIA NOSADELLA;44.490760906600705, 11.334462006285667;"{""coordinates"": [11.334462006285667, 44.490760906600705], ""type"": ""Point""}";AL CINEMA!;INDIRETTA;SCUOLA DELL'INFANZIA;FONDAZIONE GUALANDI;51;B;41500;2024-2025;68;MALPIGHI-2
037500055000;Porto - Saragozza;VIA D'AZEGLIO;44.48818856479583, 11.339576848718103;"{""coordinates"": [11.339576848718103, 44.48818856479583], ""type"": ""Point""}";SAN LUIGI;PRIVATA PARITARIA;SCUOLA PRIMARIA;ISTITUTO SAN LUIGI;55;;3750;2024-2025;197;MALPIGHI-2
