name,latitude,longitude
Porta Saragozza,44.4912005724502,11.329863207526603
Porta San Felice,44.49954001528024,11.327157797268898
Porta Lame,44.50321594653266,11.333574503784252
Porta Mascarella,44.502879537029294,11.352576531365191
Porta San Donato,44.49874634755899,11.356821665186462
Porta San Vitale,44.49446761939387,11.356959971239052
Porta Maggiore,44.49050398704167,11.357390145940457
Porta Santo Stefano,44.485159049817206,11.356063773944452
Porta Castiglione,44.486105318390955,11.348069693455418
